Size,Difficulty,FunctionCalls,Time,Memory
6,Medium,46,0.002609729766845703,0
6,Super easy,58,0.0028748512268066406,0
6,Pretty easy,37,0.00136566162109375,0
6,Super easy,56,0.001323699951171875,0
6,Medium,61,0.0015561580657958984,0
6,Pretty easy,38,0.0008876323699951172,0
6,Medium,71,0.003753662109375,0
6,Super easy,37,0.002080678939819336,0
6,Super easy,37,0.0018978118896484375,0
6,Super easy,37,0.0018095970153808594,0
6,Pretty easy,37,0.001771688461303711,0
6,Pretty easy,37,0.001967906951904297,0
6,Easy,194,0.010296106338500977,0
6,Super easy,70,0.0036275386810302734,0
6,Pretty easy,42,0.0021817684173583984,0
6,Super easy,37,0.0020051002502441406,0
6,Super easy,51,0.0022020339965820312,0
6,Super easy,67,0.003017902374267578,0
6,Easy,145,0.005774974822998047,0
6,Pretty easy,64,0.0031745433807373047,0
6,Medium,45,0.001178741455078125,0
6,Super easy,37,0.0008828639984130859,0
6,Pretty easy,69,0.0015375614166259766,0
6,Pretty easy,37,0.0008962154388427734,0
6,Super easy,41,0.0009770393371582031,0
6,Super easy,66,0.0017743110656738281,0
6,Super easy,37,0.0009074211120605469,0
6,Pretty easy,96,0.002147197723388672,0
6,Pretty easy,58,0.002451658248901367,0
6,Super easy,83,0.0039653778076171875,0
6,Super easy,40,0.001668691635131836,0
6,Super easy,68,0.0025000572204589844,0
6,Pretty easy,75,0.003958940505981445,0
6,Super easy,37,0.0018322467803955078,0
6,Easy,38,0.0019888877868652344,0
6,Pretty easy,24,0.0012955665588378906,0
6,Pretty easy,37,0.0019516944885253906,0
6,Medium,66,0.0032646656036376953,0
6,Medium,55,0.00279998779296875,0
6,Super easy,106,0.005148887634277344,0
6,Pretty easy,43,0.002733469009399414,0
6,Pretty easy,40,0.0021915435791015625,0
6,Pretty easy,58,0.0028569698333740234,0
6,Easy,108,0.006022930145263672,0
6,Super easy,37,0.0020589828491210938,0
6,Pretty easy,60,0.003771543502807617,0
6,Super easy,42,0.0023391246795654297,0
6,Super easy,89,0.0061702728271484375,0
6,Hard,135,0.00897836685180664,0
6,Pretty easy,65,0.003319978713989258,0
6,Super easy,38,0.0019192695617675781,0
6,Super easy,34,0.0025403499603271484,0
6,Pretty easy,37,0.0019774436950683594,0
6,Easy,99,0.005803108215332031,0
6,Super easy,196,0.011211633682250977,0
6,Pretty easy,104,0.005719661712646484,0
6,Easy,102,0.005811929702758789,0
6,Super easy,60,0.001585245132446289,0
6,Super easy,39,0.0017933845520019531,0
