Size,Difficulty,FunctionCalls,Time,Memory
5,Super easy,13413,0.7307884693145752,0
5,Super easy,102641,4.720333576202393,0
5,Super easy,72028,3.1554911136627197,0
5,Hard,33960,1.5820651054382324,0
5,Pretty easy,70777,3.3315541744232178,0
5,Super easy,134888,5.602103233337402,0
5,Pretty easy,39650,1.8374226093292236,0
5,Hard,103051,4.486290454864502,0
5,Pretty easy,103650,4.485051870346069,0
5,Super easy,27819,1.159813642501831,0
5,Super easy,44023,2.217658042907715,0
5,Easy,107285,4.461219787597656,0
5,Super easy,71717,2.7735037803649902,0
5,Super easy,13517,0.5671110153198242,0
5,Super easy,33670,1.5111675262451172,0
5,Super easy,5428,0.22165632247924805,0
5,Super easy,23599,0.9427483081817627,0
5,Pretty easy,13054,0.7680032253265381,0
5,Hard,96985,4.26580810546875,0
5,Easy,93112,3.8931946754455566,0
5,Super easy,102604,4.170929908752441,0
5,Super easy,6412,0.2579777240753174,0
5,Super easy,41316,1.7860722541809082,0
5,Pretty easy,24165,1.0371429920196533,0
5,Super easy,87785,3.8313679695129395,0
5,Pretty easy,85772,3.433568239212036,0
5,Easy,33328,1.3912231922149658,0
5,Pretty easy,23225,1.3843894004821777,0
5,Hard,33760,1.6533758640289307,0
5,Super easy,20736,0.9486570358276367,0
5,Pretty easy,14501,0.6102640628814697,0
5,Easy,71491,2.786421298980713,0
5,Pretty easy,153479,6.542191743850708,0
5,Super easy,24530,1.0313191413879395,0
5,Super easy,123674,5.554547548294067,0
5,Super easy,137372,5.39108419418335,0
5,Pretty easy,47885,1.9003500938415527,0
5,Hard,97222,3.8589999675750732,0
5,Super easy,34833,1.3581478595733643,0
5,Super easy,31547,1.2510874271392822,0
5,Pretty easy,153683,6.388020277023315,0
5,Super easy,21108,0.8413283824920654,0
5,Super easy,5377,0.22861599922180176,0
5,Super easy,24165,1.1017279624938965,0
5,Easy,64299,2.685091733932495,0
5,Super easy,118448,4.825519800186157,0
5,Super easy,27731,1.4016711711883545,0
5,Pretty easy,23288,0.8954343795776367,0
5,Pretty easy,13435,0.5159568786621094,0
5,Super easy,24093,0.9358525276184082,0
5,Easy,93498,3.6338250637054443,0
5,Super easy,43663,1.7460663318634033,0
5,Pretty easy,71491,2.8007166385650635,0
5,Hard,24332,1.3314008712768555,0
5,Pretty easy,15487,0.6086835861206055,0
5,Pretty easy,71430,2.866774797439575,0
5,Super easy,85791,3.3482792377471924,0
5,Easy,47307,1.843813419342041,0
5,Super easy,71452,2.835134983062744,0
5,Super easy,71436,2.7894949913024902,0
5,Super easy,31494,1.2406156063079834,0
5,Super easy,149106,6.127955436706543,0
5,Super easy,73984,3.031118631362915,0
5,Pretty easy,13080,0.5492391586303711,0
5,Super easy,5400,0.2139894962310791,0
5,Super easy,154515,6.263141870498657,0
5,Pretty easy,83051,3.4749579429626465,0
5,Pretty easy,32598,1.3534266948699951,0
5,Super easy,23429,1.1311192512512207,0
5,Pretty easy,103766,4.2743165493011475,0
5,Super easy,85261,3.4992918968200684,0
5,Super easy,32634,1.4243440628051758,0
5,Pretty easy,63735,2.862806797027588,0
5,Pretty easy,20886,0.8262190818786621,0
5,Super easy,30463,1.2106022834777832,0
5,Pretty easy,123662,4.857227087020874,0
5,Pretty easy,137384,6.033295631408691,0
5,Super easy,102246,3.9896137714385986,0
5,Pretty easy,47361,1.869056224822998,0
5,Pretty easy,86224,3.465219020843506,0
5,Medium,34613,1.4262657165527344,0
5,Pretty easy,72058,3.190335750579834,0
5,Super easy,134976,5.3831610679626465,0
5,Pretty easy,15290,0.5920877456665039,0
5,Super easy,93773,4.090584993362427,0
5,Pretty easy,13387,0.7857294082641602,0
5,Pretty easy,6169,0.36313867568969727,0
5,Super easy,96595,3.8310298919677734,0
5,Pretty easy,108442,4.744723558425903,0
5,Easy,71452,2.9956963062286377,0
5,Super easy,96630,3.753809690475464,0
5,Super easy,120553,4.9542152881622314,0
5,Super easy,44085,1.7723886966705322,0
5,Super easy,96493,3.7327592372894287,0
5,Super easy,39752,1.8785781860351562,0
5,Hard,14487,0.5596709251403809,0
5,Medium,73962,3.1398301124572754,0
5,Super easy,120427,5.3394997119903564,0
5,Super easy,44211,1.727006435394287,0
5,Medium,21688,1.0000050067901611,0
5,Super easy,15020,1.0762929916381836,0
5,Super easy,47311,2.6176533699035645,0
