Size,Difficulty,FunctionCalls,Time,Memory
5,Easy,6169,0.3323664665222168,0.125
5,Super easy,13413,0.5510601997375488,0.0
5,Super easy,102641,4.2437944412231445,0.0
5,Super easy,72028,3.6903059482574463,0.0
5,Hard,33960,1.539543867111206,0.0
5,Pretty easy,70777,3.1494858264923096,0.0
5,Super easy,134888,6.142149209976196,0.0
5,Pretty easy,39650,1.8859684467315674,0.0
5,Hard,103051,4.570777416229248,0.0
5,Pretty easy,103650,4.7743096351623535,0.0
5,Super easy,27819,1.3111462593078613,0.0
5,Super easy,44023,1.91166090965271,0.0
5,Easy,107285,4.486113548278809,0.0
5,Super easy,71717,3.0161123275756836,0.0
5,Super easy,13517,0.5919361114501953,0.0
5,Super easy,33670,1.5211963653564453,0.0
5,Super easy,5428,0.21138381958007812,0.0
5,Super easy,23599,1.1359310150146484,0.0
5,Pretty easy,13054,0.5736281871795654,0.0
5,Hard,96985,4.036032676696777,0.0
5,Easy,93112,4.429812908172607,0.0
5,Super easy,102604,4.7485504150390625,0.0
5,Super easy,6412,0.26825642585754395,0.0
5,Super easy,41316,1.8805961608886719,0.0
5,Pretty easy,24165,1.0280115604400635,0.0
5,Super easy,87785,4.29081392288208,0.0
5,Pretty easy,85772,4.096703767776489,0.0
5,Easy,33328,1.5550272464752197,0.0
5,Pretty easy,23225,1.1251370906829834,0.0
5,Hard,33760,1.6131298542022705,0.0
5,Super easy,20736,0.8739612102508545,0.0
5,Pretty easy,14501,0.6716313362121582,0.0
5,Easy,71491,3.1012988090515137,0.0
5,Pretty easy,153479,7.277471542358398,0.0
5,Super easy,24530,1.087615728378296,0.0
5,Super easy,123674,5.879714250564575,0.0
5,Super easy,137372,6.360466957092285,0.0
5,Pretty easy,47885,2.0772619247436523,0.0
5,Hard,97222,4.3577916622161865,0.0
5,Super easy,34833,1.9187393188476562,0.0
5,Super easy,31547,1.631870985031128,0.0
5,Pretty easy,153683,7.30513596534729,0.0
5,Super easy,21108,0.8919315338134766,0.0
5,Super easy,5377,0.26691603660583496,0.0
5,Super easy,24165,1.0099389553070068,0.0
5,Easy,64299,2.7754054069519043,0.0
5,Super easy,118448,5.1689066886901855,0.0
5,Super easy,27731,1.2024846076965332,0.0
5,Pretty easy,23288,1.1101317405700684,0.0
5,Pretty easy,13435,0.6072773933410645,0.0
5,Super easy,24093,1.2017731666564941,0.0
5,Easy,93498,4.150902986526489,0.0
5,Super easy,43663,1.96433687210083,0.0
5,Pretty easy,71491,3.1200618743896484,0.0
5,Hard,24332,1.0766558647155762,0.0
5,Pretty easy,15487,0.6849749088287354,0.0
5,Pretty easy,71430,3.1698005199432373,0.0
5,Super easy,85791,3.707704782485962,0.0
5,Easy,47307,2.209026575088501,0.0
5,Super easy,71452,3.4238641262054443,0.0
5,Super easy,71436,3.445493221282959,0.0
5,Super easy,31494,1.5732309818267822,0.0
